doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,sentence,event_id,trigger_lemma,trigger_token,agent_key,patient_key,time_key,time_prep,location,location_key,negated,confidence
wn-0000,7,discovery,discovered,Telescope,gigantic gas clouds,,"The COS would make possible the identification of the invisible portion of ""ordinary matter,"" potentially residing in gigantic gas clouds discovered by the Chandra X-ray Telescope.",wn-0000:7:315,discover,315,LOC:Telescope,,,,,,False,0.7
wn-0000,8,discovery,discovery,,,,"""The WFC3 has greatly enhanced power for discovery in the blue and the red region of the spectrum and will significantly enhance studies of galaxies and stars.",wn-0000:8:333,discovery,333,,,,,,,False,0.5
wn-0000,12,discovery,discovery,,,,"We must do this with intense determination and energy and thus continue to inspire new generations with the wonder and thrill of exploration and discovery,"" concluded Norman.",wn-0000:12:427,discovery,427,,,,,,,False,0.5
wn-0001,0,launch,launch,Boeing,,"December 21, 2004","A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials.",wn-0001:0:1,launch,1,ORG:Boeing,,"DATE:December 21, 2004",on,,,False,0.65
wn-0001,0,failure,failed,,A launch,"December 21, 2004","A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials.",wn-0001:0:21,fail,21,,,"DATE:December 21, 2004",,,,False,0.65
wn-0001,0,launch,launch,,,"December 21, 2004","A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials.",wn-0001:0:36,launch,36,,,"DATE:December 21, 2004",,,,False,0.55
wn-0001,1,launch,launch,,Delta IV,,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost.",wn-0001:1:60,launch,60,,SPACECRAFT:Delta IV,,,,,False,0.7
wn-0001,1,failure,lost,,The dummy satellite,,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost.",wn-0001:1:95,lose,95,,,,,,,False,0.6
wn-0001,2,failure,malfunction,,rocket,,"Boeing's Vice President for Expendable Launch Systems, Dan Collins, said that the rocket malfunction was caused by a shorter first stage burn then was expected.",wn-0001:2:114,malfunction,114,,,,,,,False,0.55
wn-0001,3,failure,lost,,the fuel,,"This was compensated for during flight, however the fuel lost in the process limited final stages of the burn and was responsible for the payload not achieving orbit",wn-0001:3:137,lose,137,,,,,,,False,0.6
