source,target,edge_type,label,doc_id,sent_id,confidence,weight
SPACECRAFT:Hubble Space Telescope,ORG:Wide Field Camera 3,RELATION,PART_OF,wn-0000,4,0.4,1
SPACECRAFT:Delta IV Heavy,ORG:Boeing,RELATION,LAUNCHED_BY,wn-0001,0,0.4,1
SPACECRAFT:Delta IV,ORG:U.S. Air Force Research Laboratory,RELATION,LAUNCHED_BY,wn-0001,1,0.4,1
SPACECRAFT:Delta IV Heavy,ORG:Boeing,RELATION,LAUNCHED_BY,wn-0002,0,0.4,1
SPACECRAFT:Delta IV,ORG:U.S. Air Force Research Laboratory,RELATION,LAUNCHED_BY,wn-0002,1,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,DESTINATION,wn-0003,0,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,ORBITS,wn-0003,0,0.6,1
SPACECRAFT:Cassini-Huygens,ORG:NASA,RELATION,LAUNCHED_BY,wn-0005,8,0.88,1
SPACECRAFT:Huygens,CELESTIAL:Titan,RELATION,DESTINATION,wn-0006,0,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Titan,RELATION,DESTINATION,wn-0006,7,0.4,1
SPACECRAFT:Shenzhou,CELESTIAL:Earth,RELATION,ORBITS,wn-0007,3,0.88,1
SPACECRAFT:Rover Opportunity,ORG:NASA,RELATION,OPERATED_BY,wn-0008,0,0.62,1
SPACECRAFT:Hubble Space Telescope,ORG:Goddard Space Flight Center,RELATION,OPERATED_BY,wn-0013,15,0.92,1
SPACECRAFT:Swift,ORG:NASA,RELATION,OPERATED_BY,wn-0014,0,0.62,1
SPACECRAFT:Ariane 5,ORG:ESA,RELATION,OPERATED_BY,wn-0019,1,0.62,1
SPACECRAFT:Mars Express,ORG:ESA,RELATION,OPERATED_BY,wn-0024,6,0.62,1
SPACECRAFT:Spitzer Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0028,0,0.62,1
SPACECRAFT:Spitzer Space Telescope,ORG:JPL,RELATION,OPERATED_BY,wn-0028,21,0.88,1
SPACECRAFT:Hubble Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0029,22,0.62,1
SPACECRAFT:Mars Reconnaissance Orbiter,ORG:NASA,RELATION,OPERATED_BY,wn-0046,0,0.62,1
SPACECRAFT:Mars Reconnaissance Orbiter,ORG:JPL,RELATION,OPERATED_BY,wn-0046,13,0.92,1
SPACECRAFT:PSLV,ORG:ISRO,RELATION,LAUNCHED_BY,wn-0050,3,0.92,1
SPACECRAFT:Deep Impact,ORG:NASA,RELATION,OPERATED_BY,wn-0057,0,0.62,1
SPACECRAFT:Deep Impact,CELESTIAL:Tempel 1,RELATION,DESTINATION,wn-0057,8,0.82,1
SPACECRAFT:Deep Impact,CELESTIAL:Tempel 1,RELATION,DESTINATION,wn-0057,26,0.4,1
SPACECRAFT:Orbiter Discovery,CELESTIAL:Earth,RELATION,DESTINATION,wn-0068,0,0.82,1
SPACECRAFT:Cassini-Huygens,CELESTIAL:Saturn,RELATION,DESTINATION,wn-0073,1,0.4,1
SPACECRAFT:Cassini-Huygens,CELESTIAL:Saturn,RELATION,ORBITS,wn-0073,1,0.4,1
SPACECRAFT:Hubble Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0076,0,0.62,1
SPACECRAFT:Shenzhou,GPE:People's Republic of China,RELATION,LAUNCHED_FROM,wn-0078,0,0.4,1
SPACECRAFT:Shenzhou,GPE:China,RELATION,LAUNCHED_FROM,wn-0078,1,0.4,1
SPACECRAFT:Shenzhou,CELESTIAL:Earth,RELATION,ORBITS,wn-0079,2,0.88,1
SPACECRAFT:Shenzhou,CELESTIAL:Earth,RELATION,ORBITS,wn-0079,7,0.4,1
SPACECRAFT:Venus Express,CELESTIAL:Venus,RELATION,DESTINATION,wn-0080,2,0.82,1
SPACECRAFT:Mars Express,CELESTIAL:Mars,RELATION,ORBITS,wn-0080,8,0.4,1
SPACECRAFT:Stardust,FAC:Cape Canaveral,RELATION,LAUNCHED_FROM,wn-0089,49,0.82,1
SPACECRAFT:Mars Express,ORG:ESA,RELATION,OPERATED_BY,wn-0100,4,0.62,1
SPACECRAFT:Mars Global Surveyor,ORG:NASA,RELATION,OPERATED_BY,wn-0100,4,0.62,1
SPACECRAFT:Mars Global Surveyor,PERSON:Altimeter,RELATION,CREWED_BY,wn-0102,4,0.6,1
SPACECRAFT:Mars Global Surveyor,ORG:NASA,RELATION,OPERATED_BY,wn-0102,4,0.62,1
SPACECRAFT:Mars Global Surveyor,CELESTIAL:Mars,RELATION,ORBITS,wn-0102,4,0.4,1
SPACECRAFT:Mars Odyssey,ORG:NASA,RELATION,OPERATED_BY,wn-0102,5,0.62,1
SPACECRAFT:Voyager 1,ORG:NASA,RELATION,LAUNCHED_BY,wn-0105,3,0.92,1
SPACECRAFT:Stardust,CELESTIAL:Mars,RELATION,DESTINATION,wn-0110,137,0.4,1
SPACECRAFT:shuttle Discovery,ORG:NASA,RELATION,OPERATED_BY,wn-0116,0,0.62,1
SPACECRAFT:Space Shuttle Discovery,FAC:Kennedy Space Center,RELATION,LAUNCHED_FROM,wn-0119,0,0.82,1
SPACECRAFT:ISS,GPE:Woomera,RELATION,LAUNCHED_FROM,wn-0128,0,0.4,1
SPACECRAFT:ISS,LOC:South Australia,RELATION,LAUNCHED_FROM,wn-0128,0,0.4,1
SPACECRAFT:Swift,ORG:NASA,RELATION,OPERATED_BY,wn-0133,0,0.62,1
SPACECRAFT:Space Shuttle Atlantis,CELESTIAL:Earth,RELATION,ORBITS,wn-0144,2,0.4,1
SPACECRAFT:James Webb Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0147,18,0.62,1
SPACECRAFT:Cassini,ORG:NASA,RELATION,OPERATED_BY,wn-0154,0,0.62,1
SPACECRAFT:Cassini,PERSON:Andrew Ingersoll,RELATION,CREWED_BY,wn-0154,4,0.4,1
SPACECRAFT:Mars Global Surveyor,ORG:JPL,RELATION,OPERATED_BY,wn-0158,20,0.88,1
SPACECRAFT:Cassini,PERSON:Ellen Stofan,RELATION,CREWED_BY,wn-0164,2,0.4,1
SPACECRAFT:Chandra X-ray Observatory,ORG:NASA,RELATION,OPERATED_BY,wn-0176,3,0.4,1
SPACECRAFT:Mars Reconnaissance Orbiter,ORG:NASA,RELATION,OPERATED_BY,wn-0178,0,0.62,1
SPACECRAFT:Spitzer Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0179,0,0.62,1
SPACECRAFT:Mars Express,ORG:ESA,RELATION,OPERATED_BY,wn-0184,0,0.62,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0191,0,0.75,1
SPACECRAFT:Phoenix,ORG:NASA,RELATION,OPERATED_BY,wn-0191,0,0.62,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0191,2,0.82,1
SPACECRAFT:ISS,PERSON:Canadarm,RELATION,CREWED_BY,wn-0191,10,0.6,1
SPACECRAFT:Space Shuttle,PERSON:Canadarm,RELATION,CREWED_BY,wn-0191,10,0.6,1
SPACECRAFT:Mars Global Surveyor,ORG:NASA,RELATION,OPERATED_BY,wn-0192,0,0.62,1
SPACECRAFT:PSLV,GPE:India,RELATION,LAUNCHED_FROM,wn-0195,0,0.4,1
SPACECRAFT:Spirit Rover,ORG:NASA,RELATION,OPERATED_BY,wn-0204,0,0.62,1
SPACECRAFT:Space Shuttle Atlantis,ORG:NASA,RELATION,OPERATED_BY,wn-0214,1,0.62,1
SPACECRAFT:Spitzer,ORG:NASA,RELATION,OPERATED_BY,wn-0221,5,0.62,1
SPACECRAFT:Proton,ORG:Breeze M,RELATION,PART_OF,wn-0230,1,0.4,1
SPACECRAFT:Proton,FAC:Baikonur Cosmodrome,RELATION,LAUNCHED_FROM,wn-0230,2,0.82,1
SPACECRAFT:Proton,FAC:Baikonur,RELATION,LAUNCHED_FROM,wn-0230,3,0.82,1
SPACECRAFT:Proton,GPE:Kazakhstan,RELATION,LAUNCHED_FROM,wn-0230,3,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,DESTINATION,wn-0231,9,0.4,1
SPACECRAFT:Mars Odyssey,ORG:NASA,RELATION,OPERATED_BY,wn-0237,0,0.62,1
SPACECRAFT:Spitzer,ORG:NASA,RELATION,OPERATED_BY,wn-0238,1,0.62,1
SPACECRAFT:Cassini,ORG:NASA,RELATION,OPERATED_BY,wn-0241,0,0.62,1
SPACECRAFT:ISS,PERSON:Whitson,RELATION,CREWED_BY,wn-0244,3,0.4,1
SPACECRAFT:Venus Express,ORG:ESA,RELATION,OPERATED_BY,wn-0246,0,0.62,1
SPACECRAFT:Space Shuttle Atlantis,ORG:STS-122,RELATION,LAUNCHED_BY,wn-0248,0,0.4,1
SPACECRAFT:ISS,ORG:ESA,RELATION,PART_OF,wn-0248,5,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,DESTINATION,wn-0249,0,0.4,1
SPACECRAFT:Cassini,ORG:NASA,RELATION,OPERATED_BY,wn-0249,10,0.92,1
SPACECRAFT:Cassini,ORG:ESA,RELATION,OPERATED_BY,wn-0249,10,0.92,1
SPACECRAFT:Space Shuttle Atlantis,ORG:STS-122,RELATION,LAUNCHED_BY,wn-0252,0,0.4,1
SPACECRAFT:MESSENGER,ORG:NASA,RELATION,OPERATED_BY,wn-0255,0,0.62,1
SPACECRAFT:PSLV,FAC:Satish Dhawan Space Centre,RELATION,LAUNCHED_FROM,wn-0256,3,0.82,1
SPACECRAFT:ISS,ORG:Roscosmos,RELATION,LAUNCHED_BY,wn-0262,0,0.4,1
SPACECRAFT:Space Shuttle Atlantis,ORG:STS-122,RELATION,LAUNCHED_BY,wn-0262,2,0.4,1
SPACECRAFT:Space Shuttle Atlantis,FAC:Kennedy Space Center,RELATION,LAUNCHED_FROM,wn-0263,0,0.82,1
SPACECRAFT:Space Shuttle Atlantis,FAC:Kennedy Space Center,RELATION,LAUNCHED_FROM,wn-0264,0,0.82,1
SPACECRAFT:Space Shuttle,PERSON:Rex Walheim,RELATION,CREWED_BY,wn-0266,0,0.4,1
SPACECRAFT:Space Shuttle,PERSON:Stan Love,RELATION,CREWED_BY,wn-0266,0,0.4,1
SPACECRAFT:Space Shuttle,CELESTIAL:Earth,RELATION,DESTINATION,wn-0270,3,0.4,1
SPACECRAFT:ISS,PERSON:Reisman,RELATION,CREWED_BY,wn-0278,4,0.4,1
SPACECRAFT:Atlas V,FAC:Vandenberg,RELATION,LAUNCHED_FROM,wn-0279,4,0.82,1
SPACECRAFT:Proton,ORG:SES Americom,RELATION,LAUNCHED_BY,wn-0280,0,0.4,1
SPACECRAFT:Proton,FAC:Baikonur Cosmodrome,RELATION,LAUNCHED_FROM,wn-0280,0,0.82,1
SPACECRAFT:Proton,GPE:Kazakhstan,RELATION,LAUNCHED_FROM,wn-0280,0,0.4,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,ORBITS,wn-0281,12,0.88,1
SPACECRAFT:Hubble Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0284,0,0.62,1
SPACECRAFT:Spitzer Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0284,13,0.62,1
SPACECRAFT:Cassini,ORG:NASA,RELATION,OPERATED_BY,wn-0286,0,0.62,1
SPACECRAFT:Cassini,CELESTIAL:Titan,RELATION,DESTINATION,wn-0286,8,0.4,1
SPACECRAFT:Soyuz,FAC:Baikonur Cosmodrome,RELATION,LAUNCHED_FROM,wn-0292,0,0.4,1
SPACECRAFT:ISS,ORG:Pirs,RELATION,PART_OF,wn-0292,7,0.4,1
SPACECRAFT:Shenzhou,CELESTIAL:Earth,RELATION,ORBITS,wn-0297,2,0.4,1
SPACECRAFT:Titan IV,ORG:National Reconnaissance Office,RELATION,LAUNCHED_BY,wn-0299,7,0.4,1
SPACECRAFT:Titan IV,GPE:America,RELATION,LAUNCHED_FROM,wn-0299,7,0.4,1
SPACECRAFT:Cassini-Huygens,CELESTIAL:Mars,RELATION,DESTINATION,wn-0299,9,0.4,1
SPACECRAFT:Cassini-Huygens,CELESTIAL:Saturn,RELATION,DESTINATION,wn-0299,9,0.4,1
SPACECRAFT:Soyuz,ORG:Russo-European,RELATION,LAUNCHED_BY,wn-0300,1,0.4,1
SPACECRAFT:Progress,CELESTIAL:Earth,RELATION,ORBITS,wn-0303,0,0.4,1
SPACECRAFT:ISS,PERSON:Sergei Volkov,RELATION,CREWED_BY,wn-0303,4,0.75,1
SPACECRAFT:ISS,PERSON:Oleg Kononenko,RELATION,CREWED_BY,wn-0303,4,0.75,1
SPACECRAFT:ISS,PERSON:Garrett Reisman,RELATION,CREWED_BY,wn-0303,4,0.75,1
SPACECRAFT:Space Shuttle Endeavour,ORG:Japanese Experiment Module,RELATION,LAUNCHED_BY,wn-0303,5,0.4,1
SPACECRAFT:Space Shuttle Endeavour,GPE:STS-124,RELATION,LAUNCHED_FROM,wn-0303,5,0.4,1
SPACECRAFT:Space Shuttle Endeavour,ORG:Japanese Experiment Module,RELATION,PART_OF,wn-0303,5,0.4,1
SPACECRAFT:Spirit Rover,ORG:NASA,RELATION,OPERATED_BY,wn-0306,0,0.4,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0308,0,0.82,1
SPACECRAFT:Phoenix,ORG:NASA,RELATION,OPERATED_BY,wn-0308,0,0.62,1
SPACECRAFT:Long March,ORG:ChinaThe Chinese National Space Administration,RELATION,LAUNCHED_BY,wn-0309,0,0.88,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0311,88,0.4,1
SPACECRAFT:Delta II,FAC:134th,RELATION,LAUNCHED_FROM,wn-0316,15,0.4,1
SPACECRAFT:Phoenix,ORG:NASA,RELATION,OPERATED_BY,wn-0317,0,0.62,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0322,1,0.4,1
SPACECRAFT:Mars Express,ORG:ESA,RELATION,OPERATED_BY,wn-0322,12,0.62,1
SPACECRAFT:Mars Reconnaissance Orbiter,ORG:NASA,RELATION,OPERATED_BY,wn-0324,0,0.62,1
SPACECRAFT:Proton,FAC:Baikonur Cosmodrome,RELATION,LAUNCHED_FROM,wn-0325,0,0.4,1
SPACECRAFT:Proton,ORG:Block,RELATION,PART_OF,wn-0325,0,0.4,1
SPACECRAFT:Ulysses,ORG:Inertial Upper Stage,RELATION,LAUNCHED_BY,wn-0326,2,0.92,1
SPACECRAFT:Long March,ORG:ChinaSat,RELATION,OPERATED_BY,wn-0327,6,0.4,1
SPACECRAFT:Ariane 5,ORG:ECA,RELATION,LAUNCHED_BY,wn-0327,24,0.4,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0331,0,0.4,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0331,8,0.82,1
SPACECRAFT:Project Mercury,PERSON:Gordon Cooper,RELATION,CREWED_BY,wn-0332,8,0.75,1
SPACECRAFT:Project Mercury,PERSON:James Doohan,RELATION,CREWED_BY,wn-0332,8,0.4,1
SPACECRAFT:Project Mercury,PERSON:Montgomery Scott,RELATION,CREWED_BY,wn-0332,8,0.4,1
SPACECRAFT:Falcon 1,ORG:UTC,RELATION,LAUNCHED_BY,wn-0338,1,0.4,1
SPACECRAFT:Falcon 1,ORG:Ronald Reagan Ballistic Missile Defense Test Site,RELATION,LAUNCHED_BY,wn-0338,1,0.4,1
SPACECRAFT:Chandrayaan-1,FAC:Satish Dhawan Space Centre,RELATION,LAUNCHED_FROM,wn-0340,2,0.82,1
SPACECRAFT:Phoenix,CELESTIAL:Mars,RELATION,DESTINATION,wn-0343,0,0.4,1
SPACECRAFT:Herschel,SPACECRAFT:Planck,RELATION,PART_OF,wn-0375,15,0.4,1
SPACECRAFT:Planck,SPACECRAFT:Herschel,RELATION,PART_OF,wn-0375,15,0.4,1
SPACECRAFT:Soyuz,FAC:Baikonur Cosmodrome,RELATION,LAUNCHED_FROM,wn-0377,1,0.4,1
SPACECRAFT:Cassini,ORG:NASA,RELATION,OPERATED_BY,wn-0387,1,0.62,1
SPACECRAFT:Cassini,CELESTIAL:Saturn,RELATION,ORBITS,wn-0387,13,0.6,1
SPACECRAFT:Spitzer Space Telescope,ORG:NASA,RELATION,OPERATED_BY,wn-0388,4,0.62,1
SPACECRAFT:Space Shuttle,ORG:NASA,RELATION,OPERATED_BY,wn-0403,9,0.62,1
