node_id,node_type,label,category,doc_count,mention_count,time_value,doc_id,negated
SPACECRAFT:Hubble Space Telescope,entity,Hubble Space Telescope,SPACECRAFT,7,9,,,False
ORG:Wide Field Camera 3,entity,Wide Field Camera 3,ORG,1,1,,,False
SPACECRAFT:Delta IV Heavy,entity,Delta IV Heavy,SPACECRAFT,2,2,,,False
ORG:Boeing,entity,Boeing,ORG,2,4,,,False
SPACECRAFT:Delta IV,entity,Delta IV,SPACECRAFT,3,5,,,False
ORG:U.S. Air Force Research Laboratory,entity,U.S. Air Force Research Laboratory,ORG,2,2,,,False
SPACECRAFT:Cassini,entity,Cassini,SPACECRAFT,15,31,,,False
CELESTIAL:Saturn,entity,Saturn,CELESTIAL,7,9,,,False
SPACECRAFT:Cassini-Huygens,entity,Cassini-Huygens,SPACECRAFT,4,7,,,False
ORG:NASA,entity,NASA,ORG,64,75,,,False
SPACECRAFT:Huygens,entity,Huygens,SPACECRAFT,2,2,,,False
CELESTIAL:Titan,entity,Titan,CELESTIAL,5,7,,,False
SPACECRAFT:Shenzhou,entity,Shenzhou,SPACECRAFT,4,6,,,False
CELESTIAL:Earth,entity,Earth,CELESTIAL,12,13,,,False
SPACECRAFT:Rover Opportunity,entity,Rover Opportunity,SPACECRAFT,1,2,,,False
ORG:Goddard Space Flight Center,entity,Goddard Space Flight Center,ORG,1,1,,,False
SPACECRAFT:Swift,entity,Swift,SPACECRAFT,4,11,,,False
SPACECRAFT:Ariane 5,entity,Ariane 5,SPACECRAFT,5,7,,,False
ORG:ESA,entity,ESA,ORG,13,13,,,False
SPACECRAFT:Mars Express,entity,Mars Express,SPACECRAFT,5,5,,,False
SPACECRAFT:Spitzer Space Telescope,entity,Spitzer Space Telescope,SPACECRAFT,5,7,,,False
ORG:JPL,entity,JPL,ORG,3,3,,,False
SPACECRAFT:Mars Reconnaissance Orbiter,entity,Mars Reconnaissance Orbiter,SPACECRAFT,5,7,,,False
SPACECRAFT:PSLV,entity,PSLV,SPACECRAFT,5,7,,,False
ORG:ISRO,entity,ISRO,ORG,3,4,,,False
SPACECRAFT:Deep Impact,entity,Deep Impact,SPACECRAFT,2,5,,,False
CELESTIAL:Tempel 1,entity,Tempel 1,CELESTIAL,1,2,,,False
SPACECRAFT:Orbiter Discovery,entity,Orbiter Discovery,SPACECRAFT,1,3,,,False
GPE:People's Republic of China,entity,People's Republic of China,GPE,2,3,,,False
GPE:China,entity,China,GPE,6,6,,,False
SPACECRAFT:Venus Express,entity,Venus Express,SPACECRAFT,3,3,,,False
CELESTIAL:Venus,entity,Venus,CELESTIAL,1,1,,,False
CELESTIAL:Mars,entity,Mars,CELESTIAL,13,16,,,False
SPACECRAFT:Stardust,entity,Stardust,SPACECRAFT,3,5,,,False
FAC:Cape Canaveral,entity,Cape Canaveral,FAC,1,1,,,False
SPACECRAFT:Mars Global Surveyor,entity,Mars Global Surveyor,SPACECRAFT,4,7,,,False
PERSON:Altimeter,entity,Altimeter,PERSON,1,1,,,False
SPACECRAFT:Mars Odyssey,entity,Mars Odyssey,SPACECRAFT,2,2,,,False
SPACECRAFT:Voyager 1,entity,Voyager 1,SPACECRAFT,1,2,,,False
SPACECRAFT:shuttle Discovery,entity,shuttle Discovery,SPACECRAFT,5,5,,,False
SPACECRAFT:Space Shuttle Discovery,entity,Space Shuttle Discovery,SPACECRAFT,15,17,,,False
FAC:Kennedy Space Center,entity,Kennedy Space Center,FAC,4,4,,,False
SPACECRAFT:ISS,entity,ISS,SPACECRAFT,32,40,,,False
GPE:Woomera,entity,Woomera,GPE,1,1,,,False
LOC:South Australia,entity,South Australia,LOC,1,1,,,False
SPACECRAFT:Space Shuttle Atlantis,entity,Space Shuttle Atlantis,SPACECRAFT,21,27,,,False
SPACECRAFT:James Webb Space Telescope,entity,James Webb Space Telescope,SPACECRAFT,1,2,,,False
PERSON:Andrew Ingersoll,entity,Andrew Ingersoll,PERSON,1,1,,,False
