pos,tag,count,pct_of_tokens,examples
NOUN,NN,25729,14.048,"2nd, replacement, shuttle, dollar, cost"
PROPN,NNP,20270,11.067,"Colin, A., Norman, Professor, Physics"
ADP,IN,19521,10.658,"of, at, before, on, as"
DET,DT,18015,9.836,"the, a, The, this, these"
ADJ,JJ,10608,5.792,"new, worthwhile, public, last, remarkable"
NOUN,NNS,8594,4.692,"students, funds, issues, planets, earths"
PUNCT,",",8204,4.479,",, -, amp;ndash"
PUNCT,.,7231,3.948,"., a.m., ?, *, !"
NUM,CD,5227,2.854,"one, billion, 65, three, two"
ADV,RB,5204,2.841,"essentially, Very, now, potentially, greatly"
VERB,VBN,5142,2.807,"estimated, generated, scheduled, paid, provided"
CCONJ,CC,4285,2.34,"and, plus, but, &, And"
VERB,VB,4016,2.193,"engage, make, invest, complete, tackle"
VERB,VBD,3543,1.934,"presented, said, noted, added, concluded"
PRON,PRP,3149,1.719,"it, We, He, we, It"
VERB,VBG,2767,1.511,"testifying, Concerning, including, residing, achieving"
PART,TO,2752,1.503,"to, To"
AUX,VBZ,2678,1.462,"is, has, does, 's, Is"
SCONJ,IN,2405,1.313,"than, since, that, for, while"
AUX,MD,2092,1.142,"will, would, must, should, might"
AUX,VBD,2060,1.125,"were, was, did, had, got"
PUNCT,``,1441,0.787,""", ', “, -11, °"
AUX,VB,1353,0.739,"be, have, Get, become, Do"
PRON,PRP$,1292,0.705,"its, our, Its, their, my"
PART,POS,1288,0.703,"'s, ', s, ’s, L-21"
VERB,VBZ,1284,0.701,"has, rivals, makes, survives, says"
PUNCT,'',1163,0.635,""", ', ”, amp;mdash, ’"
PRON,WDT,1132,0.618,"that, which, whatever, Whatever"
AUX,VBP,1127,0.615,"do, are, have, am, 're"
PUNCT,HYPH,1102,0.602,"-, *, -Hi"
VERB,VBP,985,0.538,"continue, need, have, hope, know"
PRON,DT,783,0.428,"This, this, amp;mdash, a, some"
PUNCT,-LRB-,698,0.381,(
PUNCT,-RRB-,696,0.38,"), 06:28:12"
PART,RB,582,0.318,"not, n't, Not, n’t"
ADP,RP,519,0.283,"on, off, down, up, out"
ADJ,JJR,515,0.281,"lighter, greater, shorter, bigger, better"
PUNCT,:,491,0.268,":, ;, -, --, —"
AUX,VBN,470,0.257,"been, had"
SCONJ,WRB,467,0.255,"when, how, where, When, why"
PRON,WP,335,0.183,"who, what, What, Who, whom"
ADJ,JJS,295,0.161,"largest, Most, least, most, smallest"
PROPN,NNPS,265,0.145,"Origins, Mons, Operations, Systems, Astrophysics"
ADV,RBR,252,0.138,"more, faster, slower, longer, closer"
PRON,EX,224,0.122,"there, There"
AUX,VBG,152,0.083,"getting, being, Being, having, Having"
ADV,RBS,128,0.07,"most, least, Most, best"
SYM,$,127,0.069,"$, US$, £, €, #"
DET,PDT,122,0.067,"all, such, half, twice, All"
SYM,SYM,102,0.056,"-, /, x, ="
PRON,NN,97,0.053,"Everyone, everything, something, anyone, nobody"
PUNCT,NFP,87,0.048,"*, _, …, ..., .."
X,FW,19,0.01,"ft, i.e., de, etc, ."
INTJ,UH,18,0.01,"Well, No, Yes, OK, well"
DET,WP$,14,0.008,whose
DET,WDT,11,0.006,"which, what, whatever, What"
AUX,IN,9,0.005,"to, at"
X,ADD,7,0.004,"linkedin.com, myspace.com, responsebase.com, freediskspace.com, spaceweather.com"
X,LS,7,0.004,"a, b, 4, Badr-6"
AUX,NN,2,0.001,being
X,XX,1,0.001,TacSat-1
