doc_id,n_sentences,n_tokens,n_words,dct,title,n_chars,n_paragraphs,mean_words_per_sentence,n_entities,categories,cache_file
wn-0000,15,471,406,2005-01-06,Astronomer proposes Hubble replacement,2532,9,27.07,40,hubble space telescope|north america|united states|university of melbourne|astronomy|dark matter|space|nasa|science and technology,wn-0000.spacy
wn-0001,16,411,354,2005-01-07,Heavy Lift Delta IV Rocket Launches,2138,8,22.12,45,space|united states,wn-0001.spacy
wn-0002,16,411,353,2005-01-08,Heavy lift Delta IV rocket launch problems,2141,8,22.06,45,space|united states,wn-0002.spacy
wn-0003,10,217,182,2005-01-09,Extraordinary feature found on Saturn's moon Iapetus,1116,5,18.2,37,science and technology|saturn (planet)|space|geology|published|astronomy,wn-0003.spacy
wn-0004,12,327,290,2005-01-09,NASA schedules launch date for comet-chasing probe,1608,4,24.17,19,north america|comets|space|united states|nasa,wn-0004.spacy
wn-0005,17,298,253,2005-01-13,Huygens moon probe to land on Titan,1508,8,14.88,49,saturn (planet)|chemistry|titan (moon)|space|nasa|science and technology,wn-0005.spacy
wn-0006,15,332,284,2005-01-14,"Huygens probe lands on Saturn's moon Titan, returns pictures",1777,7,18.93,53,saturn (planet)|european space agency|titan (moon)|space|jet propulsion laboratory|published,wn-0006.spacy
wn-0007,6,182,153,2005-01-20,China Plans Next Manned Space Mission,925,4,25.5,23,china|space|science and technology|asia,wn-0007.spacy
wn-0008,6,146,126,2005-01-20,Rover finds meteorite on Mars,825,4,21.0,18,cornell university|mars|north america|space|united states|nasa|science and technology,wn-0008.spacy
wn-0009,31,602,498,2005-01-21,NASA's Swift detects possible birth of black hole,2920,9,16.06,53,black holes|swift gamma-ray burst mission|space|pennsylvania state university|nasa|science and technology,wn-0009.spacy
wn-0010,11,188,161,2005-01-25,Mars Rover tracks viewed from orbit,947,6,14.64,14,mars|north america|space|united states|nasa|science and technology,wn-0010.spacy
wn-0011,12,286,255,2005-01-26,ESA's Smart-1 takes its first close-up images of the Moon,1453,6,21.25,15,space|europe|published|the moon,wn-0011.spacy
wn-0012,13,249,222,2005-01-26,Expedition 10 completes first spacewalk,1433,5,17.08,30,extra-vehicular activity|international space station|science and technology|space|published,wn-0012.spacy
wn-0013,18,494,439,2005-01-26,White House cuts Hubble from budget,2636,10,24.39,53,politics and conflicts|hubble space telescope|north america|space|united states|nasa|published,wn-0013.spacy
wn-0014,11,284,241,2005-02-02,Swift satellite goes fully on-line,1428,6,21.91,31,black holes|swift gamma-ray burst mission|space|pennsylvania state university|science and technology,wn-0014.spacy
wn-0015,16,483,420,2005-02-04,Chandra telescope finds missing baryonic matter,2602,7,26.25,32,space,wn-0015.spacy
wn-0016,9,255,228,2005-02-08,Hubble Space Telescope to be burnt up; Jupiter Icy Moons Orbiter cancelled,1292,4,25.33,26,hubble space telescope|nasa|nuclear power|north america|united states|international space station|space|jupiter|science and technology,wn-0016.spacy
wn-0017,10,315,268,2005-02-08,Tiny planet discovered in mini solar system,1672,6,26.8,31,space,wn-0017.spacy
wn-0018,12,337,290,2005-02-09,Star ousted from galaxy by black hole,1716,5,24.17,20,"arizona|north america|united states|supermassive black holes|black holes|astronomy|the astrophysical journal|tucson, arizona|space",wn-0018.spacy
