doc_id,source_event_id,target_event_id,relation,basis,confidence,source_trigger,target_trigger
wn-0000,wn-0000:7:315,wn-0000:8:333,BEFORE,document_order,0.3,discovered,discovery
wn-0000,wn-0000:7:315,wn-0000:12:427,BEFORE,document_order,0.3,discovered,discovery
wn-0000,wn-0000:8:333,wn-0000:12:427,BEFORE,document_order,0.3,discovery,discovery
wn-0001,wn-0001:0:1,wn-0001:0:21,SIMULTANEOUS,resolved_time,0.97,launch,failed
wn-0001,wn-0001:0:1,wn-0001:0:36,SIMULTANEOUS,resolved_time,0.97,launch,launch
wn-0001,wn-0001:0:1,wn-0001:1:60,BEFORE,document_order,0.3,launch,launch
wn-0001,wn-0001:0:1,wn-0001:1:95,BEFORE,document_order,0.3,launch,lost
wn-0001,wn-0001:0:1,wn-0001:2:114,BEFORE,document_order,0.3,launch,malfunction
wn-0001,wn-0001:0:1,wn-0001:3:137,BEFORE,document_order,0.3,launch,lost
wn-0001,wn-0001:0:1,wn-0001:4:177,BEFORE,document_order,0.3,launch,launch
wn-0001,wn-0001:0:1,wn-0001:5:197,BEFORE,resolved_time,0.85,launch,launch
wn-0001,wn-0001:0:1,wn-0001:7:241,BEFORE,document_order,0.3,launch,launch
wn-0001,wn-0001:0:1,wn-0001:7:252,BEFORE,document_order,0.3,launch,Launch
wn-0001,wn-0001:0:1,wn-0001:8:288,BEFORE,resolved_time,0.9,launch,launch
wn-0001,wn-0001:0:1,wn-0001:12:331,SIMULTANEOUS,resolved_time,0.85,launch,lifted off
wn-0001,wn-0001:0:1,wn-0001:13:353,BEFORE,resolved_time,0.75,launch,launch
wn-0001,wn-0001:0:1,wn-0001:13:355,BEFORE,resolved_time,0.75,launch,delayed
wn-0001,wn-0001:0:1,wn-0001:13:366,BEFORE,resolved_time,0.75,launch,glitches
wn-0001,wn-0001:0:1,wn-0001:14:383,BEFORE,resolved_time,0.75,launch,launch
wn-0001,wn-0001:0:1,wn-0001:14:384,BEFORE,resolved_time,0.75,launch,detection
wn-0001,wn-0001:0:1,wn-0001:15:405,BEFORE,resolved_time,0.95,launch,launch
wn-0001,wn-0001:0:21,wn-0001:0:36,SIMULTANEOUS,resolved_time,0.97,failed,launch
wn-0001,wn-0001:0:21,wn-0001:1:60,BEFORE,document_order,0.3,failed,launch
wn-0001,wn-0001:0:21,wn-0001:1:95,BEFORE,document_order,0.3,failed,lost
wn-0001,wn-0001:0:21,wn-0001:2:114,BEFORE,document_order,0.3,failed,malfunction
wn-0001,wn-0001:0:21,wn-0001:3:137,BEFORE,document_order,0.3,failed,lost
wn-0001,wn-0001:0:21,wn-0001:4:177,BEFORE,document_order,0.3,failed,launch
wn-0001,wn-0001:0:21,wn-0001:5:197,BEFORE,resolved_time,0.85,failed,launch
wn-0001,wn-0001:0:21,wn-0001:7:241,BEFORE,document_order,0.3,failed,launch
wn-0001,wn-0001:0:21,wn-0001:7:252,BEFORE,document_order,0.3,failed,Launch
wn-0001,wn-0001:0:21,wn-0001:8:288,BEFORE,resolved_time,0.9,failed,launch
wn-0001,wn-0001:0:21,wn-0001:12:331,SIMULTANEOUS,resolved_time,0.85,failed,lifted off
wn-0001,wn-0001:0:21,wn-0001:13:353,BEFORE,resolved_time,0.75,failed,launch
wn-0001,wn-0001:0:21,wn-0001:13:355,BEFORE,resolved_time,0.75,failed,delayed
