event_id,doc_id,sent_id,event_type,trigger_word,agent,agent_key,patient,patient_key,location,time_expr,time_value,time_granularity,time_method,time_confidence,sort_key,dct,negated,confidence,sentence
wn-0000:7:315,wn-0000,7,discovery,discovered,Telescope,LOC:Telescope,gigantic gas clouds,,,,2005-01-06,day,dct_fallback,0.25,2005-01-06,2005-01-06,False,0.7,"The COS would make possible the identification of the invisible portion of ""ordinary matter,"" potentially residing in gigantic gas clouds discovered by the Chandra X-ray Telescope."
wn-0000:8:333,wn-0000,8,discovery,discovery,,,,,,,2005-01-06,day,dct_fallback,0.25,2005-01-06,2005-01-06,False,0.5,"""The WFC3 has greatly enhanced power for discovery in the blue and the red region of the spectrum and will significantly enhance studies of galaxies and stars."
wn-0000:12:427,wn-0000,12,discovery,discovery,,,,,,,2005-01-06,day,dct_fallback,0.25,2005-01-06,2005-01-06,False,0.5,"We must do this with intense determination and energy and thus continue to inspire new generations with the wonder and thrill of exploration and discovery,"" concluded Norman."
wn-0001:0:1,wn-0001,0,launch,launch,Boeing,ORG:Boeing,,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-07,False,0.65,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials."
wn-0001:0:21,wn-0001,0,failure,failed,,,A launch,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-07,False,0.65,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials."
wn-0001:0:36,wn-0001,0,launch,launch,,,,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-07,False,0.55,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into its intended orbit, but the launch was considered successful by Air Force officials."
wn-0001:1:60,wn-0001,1,launch,launch,,,Delta IV,SPACECRAFT:Delta IV,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.7,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0001:1:95,wn-0001,1,failure,lost,,,The dummy satellite,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.6,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0001:2:114,wn-0001,2,failure,malfunction,,,rocket,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.55,"Boeing's Vice President for Expendable Launch Systems, Dan Collins, said that the rocket malfunction was caused by a shorter first stage burn then was expected."
wn-0001:3:137,wn-0001,3,failure,lost,,,the fuel,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.6,"This was compensated for during flight, however the fuel lost in the process limited final stages of the burn and was responsible for the payload not achieving orbit"
wn-0001:4:177,wn-0001,4,launch,launch,,,,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.5,"A Boeing spokesman, Robert Villanueva, agreed that many flight objectives were achieved, but did not call the launch a success."
wn-0001:5:197,wn-0001,5,launch,launch,,,,,,next year,2006,year,relative_unit,0.85,2006-01-01,2005-01-07,False,0.55,"""We do have an outstanding issue we need to work on before our first operational launch next year,"" Villanueva said."
wn-0001:7:241,wn-0001,7,launch,launch,,,,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.5,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.
wn-0001:7:252,wn-0001,7,launch,Launch,,,Expendable,,,,2005-01-07,day,dct_fallback,0.25,2005-01-07,2005-01-07,False,0.55,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.
wn-0001:8:288,wn-0001,8,launch,launch,,,Defense Support Program,ORG:Defense Support Program,,2005,2005,year,year,0.9,2005-01-01,2005-01-07,False,0.75,"Collins also reported, ""We now have enough information and confidence in the Delta IV Heavy to move forward with preparations for the upcoming Defense Support Program launch in 2005."
wn-0001:12:331,wn-0001,12,launch,lifted off,,,The 23-story rocket,,Cape Canaveral Air Force Station,Dec. 21,2004-12-21,day,month_day,0.85,2004-12-21,2005-01-07,False,0.65,"The 23-story rocket, a heavy-lift variant of the Delta 4 family, lifted off from Cape Canaveral Air Force Station in Florida on Dec. 21 at 4:50 p.m. (2150 GMT)."
wn-0001:13:353,wn-0001,13,launch,launch,,,,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-07,True,0.55,The launch was delayed three times in December due to weather problems and technical glitches.
wn-0001:13:355,wn-0001,13,delay,delayed,,,The launch,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-07,False,0.65,The launch was delayed three times in December due to weather problems and technical glitches.
